Mixture fraction,Equivalence ratio (reduced mechanism),Flame Speed (reduced mechanism) [m/s],Adiabatic flame temperature (reduced mechanism) [K],Maximum temperature (reduced mechanism) [K],Z_max (reduced mechanism) [m],Ignition delay time (reduced mechanism) [s],Flame Speed (complete mechanism) [m/s],Adiabatic flame temperature (complete mechanism) [K],Maximum temperature (complete mechanism) [K],Z_max (complete mechanism) [m],Ignition delay time (complete mechanism) [s]
0,0,0,300,0,0,-nan,0,300,0,0,-nan
0.005,0.0906349,0,541.33,0,0,-nan,0,541.33,0,0,-nan
0.01,0.18127,0,767.404,0,0,-nan,0,767.404,0,0,-nan
0.015,0.271905,0,977.379,0,0,-nan,0,977.379,0,0,-nan
0.02,0.362539,0,1174.22,0,0,-nan,0,1174.22,0,0,-nan
0.025,0.453174,0.00067096,1360.2,1071.12,0.0975,145.314,0.0227726,1360.2,1357.38,0.09,3.95213
0.03,0.543809,0.0595589,1536.34,1504.88,0.09,1.51111,0.0669724,1536.34,1534.02,0.09,1.34384
0.035,0.634444,0.122615,1703.2,1671.84,0.09,0.734007,0.131515,1703.2,1700.25,0.09,0.684333
0.04,0.725079,0.196375,1860.64,1830.42,0.09,0.458308,0.204933,1860.64,1859.46,0.09,0.439167
0.045,0.815714,0.270702,2006.89,1978.14,0.085,0.313999,0.277609,2006.89,2007.87,0.085,0.306186
0.05,0.906349,0.335565,2135.52,2109.37,0.085,0.253304,0.338308,2135.52,2136.98,0.085,0.25125
0.055,0.996983,0.380793,2223.57,2207.9,0.0998438,0.262199,0.376296,2223.57,2227.06,0.0975,0.259105
0.0551664,1,0.381864,2225.13,2210.17,0.0998438,0.261464,0.377005,2225.13,2228.77,0.095,0.251986
0.06,1.08762,0.397433,2214.01,2219.88,0.09,0.226454,0.382956,2214.01,2220.15,0.09,0.235014
0.065,1.17825,0.374343,2143.42,2152.64,0.09,0.240421,0.344999,2143.42,2147.58,0.09,0.26087
0.07,1.26889,0.299225,2065.4,2075.54,0.09,0.300777,0.254269,2065.4,2068.09,0.09,0.353956
0.075,1.35952,0.187073,1987.99,1998.77,0.09,0.481096,0.150824,1987.99,1988.89,0.095,0.629875
0.08,1.45016,0.11634,1912.28,1930.64,0.055,0.472753,0.105189,1912.28,1922.55,0.05375,0.510987
0.085,1.54079,0.0872927,1838.35,1870.79,0.0534375,0.612164,0.0826491,1838.35,1863.85,0.053125,0.642777
0.09,1.63143,0.0686862,1766.12,1813.5,0.05375,0.782545,0.0668028,1766.12,1809.69,0.0534375,0.799929
0.095,1.72206,0.055831,1695.51,1761.92,0.054375,0.973922,0.0552363,1695.51,1761.07,0.0540625,0.97875
0.1,1.8127,0.0460734,1626.41,1713.48,0.055,1.19375,0.045991,1626.41,1715.54,0.054375,1.1823
0.105,1.90333,0.0384863,1558.75,1668.07,0.055625,1.44532,0.0385791,1558.75,1673.59,0.055,1.42564
0.11,1.99397,0.0326585,1492.46,1626.87,0.056875,1.74151,0.0328939,1492.46,1636.92,0.05625,1.71005
0.115,2.0846,0.0281323,1427.47,1590.7,0.058125,2.06613,0.0285256,1427.47,1605.17,0.056875,1.99382
0.12,2.17524,0.0243852,1363.73,1556.7,0.06,2.46051,0.0246642,1363.73,1574.8,0.058125,2.35665
0.125,2.26587,0.0212052,1301.19,1526.44,0.06125,2.88844,0.0215724,1301.19,1548.16,0.059375,2.75236
0.13,2.35651,0.0185528,1239.8,1498.63,0.06375,3.43614,0.0190505,1239.8,1524.27,0.06,3.14953
0.135,2.44714,0.0163238,1179.63,1473.76,0.065,3.98192,0.0168288,1179.63,1502.7,0.06125,3.6396
0.14,2.53778,0.0144715,1121.11,1451.35,0.0675,4.66434,0.0150403,1121.11,1483.18,0.0625,4.15552
0.145,2.62841,0.0129089,1066.67,1431.32,0.07,5.42262,0.0135978,1066.67,1465.97,0.065,4.78019
0.15,2.71905,0.0114938,1023.3,1412.48,0.0725,6.30777,0.012267,1023.3,1449.46,0.06625,5.40067
0.155,2.80968,0,994.969,0,0,-nan,0.0111129,994.969,1434.06,0.0675,6.07404
0.16,2.90032,0,976.768,0,0,-nan,0.0101167,976.768,1419.9,0.07,6.91927
0.165,2.99095,0,963.942,0,0,-nan,0,963.942,0,0,-nan
0.17,3.08159,0,954.108,0,0,-nan,0.00849124,954.108,1393.96,0.07375,8.68542
0.175,3.17222,0,946.104,0,0,-nan,0.0078232,946.104,1382.1,0.075,9.58686
0.18,3.26285,0,939.311,0,0,-nan,0,939.311,0,0,-nan
0.185,3.35349,0,933.37,0,0,-nan,0,933.37,0,0,-nan
0.19,3.44412,0,928.057,0,0,-nan,0,928.057,0,0,-nan
0.195,3.53476,0,923.224,0,0,-nan,0,923.224,0,0,-nan
