Mixture fraction, Equivalence ratio (reduced mechanism 93), Flame Speed (reduced mechanism 93) [m/s], Adiabatic flame temperature (reduced mechanism 93) [K], Maximum temperature (reduced mechanism 93) [K], Z_max (reduced mechanism 93) [m], Ignition delay time (reduced mechanism 93) [s], Flame Speed (complete mechanism) [m/s], Adiabatic flame temperature (complete mechanism) [K], Maximum temperature (complete mechanism) [K], Z_max (complete mechanism) [m], Ignition delay time (complete mechanism) [s]
0,-nan,0.3,300,300,-nan,-nan,0.3,300,300,-nan,0
0.005,0.0906016,-nan,541.332,-nan,-nan,-nan,-nan,541.332,-nan,-nan,-nan
0.01,0.181203,-nan,767.407,-nan,-nan,-nan,-nan,767.407,-nan,-nan,-nan
0.015,0.271805,-nan,977.383,-nan,-nan,-nan,-nan,977.383,-nan,-nan,-nan
0.02,0.362406,-nan,1174.22,-nan,-nan,-nan,-nan,1174.22,-nan,-nan,-nan
0.025,0.453008,0.0196978,1360.21,1336.45,0.09,4.56903,0.0229969,1360.21,1357.39,0.09,3.91357
0.03,0.54361,0.0601258,1536.35,1504.94,0.09,1.49686,0.0675303,1536.35,1533.99,0.09,1.33274
0.035,0.634211,0.123561,1703.2,1671.81,0.09,0.728383,0.132646,1703.2,1701.07,0.09,0.6785
0.04,0.724813,0.197558,1860.62,1830.23,0.09,0.455563,0.206172,1860.62,1859.44,0.09,0.436528
0.045,0.815414,0.272303,2006.83,1978.09,0.085,0.312152,0.27884,2006.83,2007.48,0.085,0.304834
0.05,0.906016,0.337471,2135.38,2109.24,0.085,0.251873,0.340207,2135.38,2136.91,0.085,0.249848
0.055,0.996618,0.38306,2223.47,2207.79,0.0999609,0.260954,0.378326,2223.47,2227.01,0.0975,0.257714
0.0551867,1,0.384273,2225.23,2210.34,0.0999609,0.26013,0.379302,2225.23,2228.89,0.095,0.25046
0.06,1.08722,0.399856,2214.54,2221.15,0.0998438,0.249699,0.385287,2214.54,2220.8,0.09,0.233592
0.065,1.17782,0.376863,2144.2,2153.74,0.09,0.238814,0.347589,2144.2,2148.6,0.09,0.258926
0.07,1.26842,0.302062,2066.23,2076.46,0.09,0.297952,0.256234,2066.23,2068.51,0.09,0.351242
0.075,1.35902,0.189723,1988.83,1999.58,0.09,0.474375,0.152835,1988.83,1989.76,0.095,0.621584
0.08,1.44963,0.117511,1913.11,1931.29,0.055,0.468042,0.106071,1913.11,1923.18,0.05375,0.506736
0.085,1.54023,0.0880292,1839.17,1871.33,0.0534375,0.607043,0.0832487,1839.17,1864.34,0.053125,0.638148
0.09,1.63083,0.0692009,1766.94,1814,0.05375,0.776724,0.0672615,1766.94,1810.19,0.05375,0.79912
0.095,1.72143,0.0562308,1696.32,1762.43,0.054375,0.966997,0.0555791,1696.32,1761.49,0.0540625,0.972712
0.1,1.81203,0.0463703,1627.21,1713.88,0.055,1.1861,0.0462644,1627.21,1715.85,0.054375,1.17531
0.105,1.90263,0.0387085,1559.54,1668.34,0.055625,1.43702,0.0387897,1559.54,1673.84,0.055625,1.43402
0.11,1.99324,0.0328237,1493.24,1627.06,0.056875,1.73274,0.0330554,1493.24,1637.08,0.05625,1.70169
0.115,2.08384,0.0282713,1428.24,1590.81,0.05875,2.07808,0.0286206,1428.24,1605.1,0.056875,1.9872
0.12,2.17444,0.0245084,1364.49,1557.02,0.06,2.44814,0.0247677,1364.49,1574.84,0.058125,2.34681
0.125,2.26504,0.0213044,1301.94,1526.56,0.06125,2.87499,0.0216455,1301.94,1548.03,0.059375,2.74306
0.13,2.35564,0.0186304,1240.54,1498.78,0.06375,3.42182,0.01912,1240.54,1524.23,0.06,3.13808
0.135,2.44624,0.0163894,1180.35,1473.74,0.065,3.96597,0.0168885,1180.35,1502.64,0.06125,3.62673
0.14,2.53684,0.0145351,1121.79,1451.41,0.0675,4.64392,0.0150869,1121.79,1483.13,0.06375,4.22553
0.145,2.62745,0.0129612,1067.19,1431.33,0.07,5.40074,0.0136232,1067.19,1465.84,0.065,4.77127
0.15,2.71805,0.0115369,1023.45,1412.49,0.0725,6.28417,0.0122881,1023.45,1449.22,0.06625,5.39141
0.155,2.80865,-nan,994.81,-nan,-nan,-nan,0.0111347,994.81,1433.88,0.0675,6.06213
0.16,2.89925,-nan,976.445,-nan,-nan,-nan,0.0101355,976.445,1419.47,0.07,6.90643
0.165,2.98985,-nan,963.537,-nan,-nan,-nan,-nan,963.537,-nan,-nan,-nan
0.17,3.08045,-nan,953.66,-nan,-nan,-nan,0.00850462,953.66,1393.86,0.07375,8.67176
0.175,3.17106,-nan,945.631,-nan,-nan,-nan,-nan,945.631,-nan,-nan,-nan
0.18,3.26166,-nan,938.823,-nan,-nan,-nan,-nan,938.823,-nan,-nan,-nan
0.185,3.35226,-nan,932.873,-nan,-nan,-nan,-nan,932.873,-nan,-nan,-nan
0.19,3.44286,-nan,927.554,-nan,-nan,-nan,-nan,927.554,-nan,-nan,-nan
0.195,3.53346,-nan,922.719,-nan,-nan,-nan,-nan,922.719,-nan,-nan,-nan
